Adam	A Dong
indistinct	lãng đãng
to receive, draw	lãnh
military commander	lãnh binh
lord, daimyo	lãnh chúa
frigidity	lãnh cảm
territorial waters	lãnh hải
to digest, comprehend	lãnh hội
to receive a wage, salary	lãnh lương
consul, consulate	lãnh sự
consulate	lãnh sự quán
territory, domain	lãnh thổ
to get money, receive one’s pay	lãnh tiền
leader, father-figure	lãnh tụ
high ranking leader	lãnh tụ cao cấp
leader, chief	lãnh tự
field, area, territory, domain	lãnh vực
technical field, technical area	lãnh vực chuyên môn
in the area of politics	lãnh vực chính trị
to receive a sentence, verdict	lãnh án
to receive a life sentence	lãnh án tù chung thân
to receive the death penalty, be sentenced to death	lãnh án tử hình
cold, chilly, apathetic, indifferent	lãnh đạm
to be cold with someone	lãnh đạm với người nào
to guide, lead, direct, conduct; leadership, direction	lãnh đạo
political leadership	lãnh đạo chính trị
business leader	lãnh đạo doanh nghiệp
religious leadership	lãnh đạo tôn giáo
fief	lãnh địa
(1) old, old man; (2) Dao (of Daoism)	lão
Taoism	lão Giáo
old lady	lão bà
geriatrics	lão bệnh học
senior, elder	lão bối
old servant	lão bộc
I, me	lão gia
old man	lão già
to get old, age	lão hóa
geriatrics, gerontology; geriatric, gerontologic	lão khoa
expert, experienced	lão luyện
old mother	lão mẫu
old man (over years old) exempt from duties and	lão nhiêu
senile, decrepit	lão suy
that old guy	lão ta
old official in court	lão thần
honest	lão thực
old man	lão ông
drawling (voice)	lè nhè
undersized, dwarfish, shortish	lè tè
sound of bird’s wings or leaves	lè xè
talkative, talk endlessly	lèm bèm
be mucous all over	lèm nhèm
to stuff, cram, ram in	lèn
Laos; cup, trophy	lèo
false, misleading, deceitful, untrustworthy	lèo lá
to direct, pilot, steer, guide, head up, lead	lèo lái
to steer, head up the government	lèo lái chính phủ
weakening, flabby, flaccid	lèo nhèo
scattered, sparse	lèo tèo
sizzle	lèo xèo
to squint	lé
to squint	lé mắt
secretly, furtively	lén
secretly, on the sly	lén lút
to sneak into	lén vào
hang about	léng phéng
get (into), climb (into), ascend	léo
deflated, hollow, empty	lép kẹp
sticky	lép nhép
inferior	lép vế
to cackle	lép xẹp
(1) pear; (2) to drag; (3) bayonet; (4) black, people	lê
common people, the masses	lê dân
the (French) foreign legion	lê dương
lucuma mamosa	lê ki ma
to crawl about (of children)	lê la
drag one’s feet; to move while sitting on the floor	lê lết
daybreak, dawn	lê minh
numb, depressed	lê mê
dragging, trailing; to trail	lê thê
common people, the masses	lê thứ
to go up, arise, come up	lên
to go up and down, be melodious	lên bổng xuống trầm
to go ashore, disembark, land	lên bờ
to rise, increase	lên cao
(football game) play better, become a better player	lên chân
to rise to a rank, office, get a promotion	lên chức
to go to the moon	lên cung trăng
to gain weight, put on weight, get fatter	lên cân
to have a fit	lên cơn
to have an attack of sth	lên cơn sốt
to rise to power	lên cầm quyền
to send to the electric chair	lên ghế điện
to go up in price	lên giá
to get (up) into bed	lên giường
to raise the pitch, up the tone, raise one’s	lên giọng
to go upstairs	lên gác
flex, flex one’s muscles	lên gân
be afflicted by small pox	lên hoa
evaporate	lên hơi
attain, reach old age	lên lão
upstairs; to go upstairs	lên lầu
to teach, give a lesson	lên lớp
to ferment	lên men
alcoholic fermentation	lên men rượu
to pick up the phone	lên máy
haughty; to put on airs	lên mặt
to increase considerably	lên một mức đáng kể
to ascend the throne	lên ngôi
to come (up) to sb’s house	lên nhà
to have a sheen, become lustrous, become shiny	lên nước
to go up to one’s room	lên phòng
above one’s head	lên quá đầu
put on airs, become arrogant	lên râu
to have measles	lên sởi
to raise one’s voice in denunciation	lên tiến tố cáo
to (raise one’s) voice, express one’s opinion, voice	lên tiếng
to recognize, voice recognition (of)	lên tiếng chính thức
to voice opposition	lên tiếng chống
to voice opposition to the government	lên tiếng chống chính quyền
to voice, raise an accusation	lên tiếng cáo buộc
to voice a warning, warn	lên tiếng cảnh cáo
to voice one’s opposition	lên tiếng phản đối
to voice or raise accusations	lên tiếng tố cáo
to voice, raise a request	lên tiếng yêu cầu
to raise one’s voice in criticism	lên tiếng đả kích
to voice support	lên tiếng ủng hộ
into the air, into the sky	lên trời
to go into raptures, be over the moon	lên tận mây xanh
to reach a peak	lên tột đinh
to increase, go up to	lên tới
to reach a peak, maximum	lên tới cực điểm
to rise into (the) double-digits	lên tới mức hai con số
to rise to a severe level	lên tới mức trầm trọng
to get into a car	lên xe
to accuse, sentence	lên án
to strongly accuse	lên án mạnh mẽ
to sentence to death	lên án tử hình
to light a lamp	lên đèn
to depart, set out, start a journey, leave, go away	lên đường
to set off for Hanoi	lên đường sang Hà Nội
to cock (a gun), load (a round)	lên đạn
to cock a gun	lên đạn cây súng
to have smallpox	lên đậu
to increase, go up to	lên đến
to enter a trance, go into a trance	lên đồng
to run all over, run out (water)	lêng láng
high and slender, lanky	lênh khênh
to spread all over, spill all over	lênh láng
to float, drift	lênh đênh
hoot at, spit upon, deride	lêu
shame on you	lêu lêu
loaf, be lazy, idle, do absolutely nothing; vagabond, loafer	lêu lổng
lanky	lêu đêu
(1) stubborn, obstinate, unmoved; (2) very smooth	lì
stubborn	lì lì
stubborn	lì lợm
New Year’s gift of money	lì xì
to leave, part, separate	lìa
skewer	lình
indistinct, unclear (of speaking)	lí nhí
computation theory	lí thuyết tính toán
soldier, private, policeman; military	lính
American soldier	lính Mỹ
security guard	lính an ninh
(military) border guard	lính biên phòng
guard, sentry	lính canh
warrior	lính chiến
provincial guard	lính cơ
fireman, firefighter	lính cứu hỏa
partisan	lính dõng
paratrooper, paratroops	lính dù
imperial guard	lính khố vàng
guardsman	lính khố xanh
fighter, warrior	lính khố đỏ
foreign legionnaire	lính lê dương
soldier in name only (receives pay but doesn’t fight)	lính ma lính kiểng
green beret (soldier)	lính mũ xanh
to bungle	lính quýnh
border guard	lính thú
seaman, sailor	lính thủy
marine	lính thủy đánh bộ
soldier	lính tráng
soldier or guard on patrol, patrolman, patrolwoman	lính tuần
(obsolete) soldiers	lính tập
soldier of fortune, mercenary	lính đánh thuê
to heal, skin over	líp
liter	lít
very small	lít nhít
(of handwriting) illegible, undecipherable, scribble	líu nhíu
(1) furnace, kiln, oven, reactor; prison, jail; (2) to stick out	lò
baker’s oven, bakery	lò bánh mì
bakery	lò bánh tây
to hop (on one foot)	lò cò
the world	lò cừ
to grope, fumble one’s way	lò dò
gas stove	lò ga
brick kiln	lò gạch
pottery kiln	lò gốm
slaughterhouse	lò heo
crematorium	lò hỏa táng
arc furnace	lò hồ quang
to hop	lò kò
furnace	lò luyện
stubborn	lò lợm
slaughterhouse	lò lợn
to grope, feel one’s way, fumble	lò mò
nuclear reactor	lò nguyên tử
(pottery) kiln	lò nung đồ sứ
atomic furnace, nuclear reactor	lò phá nhân
nuclear reactor	lò phóng xạ nguyên tử
reactor	lò phản ứng
light water reactor	lò phản ứng nước nhẹ
oven, roast pit	lò quay
blacksmith’s forge, smithy	lò rèn
distillery	lò rược
abattoir, slaughter-house	lò sát sinh
fireplace, radiator	lò sưởi
slaughterhouse	lò thịt
limekiln	lò vôi
spring (coil of metal)	lò xo
main spring	lò xo chính
plate spring	lò xo lá
half-elliptic spring, leaf spring, plate spring	lò xo nhíp
coil spring, helical spring	lò xo xoáy ốc
spiral spring	lò xo xoắn bẹt
coil spring	lò xo xoắn dài
electric range, oven	lò điện
foundry, mint	lò đúc
sugar mill	lò đường
blast furnace	lò đứng
dim	lòa
to bluff	lòe
bluff, deceive	lòe bịp
flashy, gaudy, tawdry	lòe loẹt
blooming	lòe nhòe
bluffing	lòe đời
to project, stick out	lòi
prolapsus of the rectum, have piles hemorrhoids	lòi dom
to stick out	lòi ra
hemorrhoid	lòi rom
be disemboweled	lòi ruột
disburse, part with one’s money	lòi tiền
chain of iron	lòi tói
abase oneself	lòn trôn
heart, spirit, feeling(s), innards, bowels, intestines	lòng
(cupped) palm, hollow of one’s hand	lòng bàn tay
(feeling of) courage	lòng can đảm
hollow, basin	lòng chảo
heart, mind	lòng dạ
sexual desire	lòng dục
appreciation	lòng ghiân
desire, wish	lòng ham thích
pig’s tripes	lòng heo
faithfulness	lòng hiếu thảo
spirit of sacrifice	lòng hy sinh
tall and thin, lanky, gangling	lòng khòng
anticipation	lòng mong chờ
one’s inner thoughts, oneself	lòng mình
feeling of love, affection	lòng mến
(feeling of) admiration	lòng ngưỡng mô
charity	lòng nhân
compassion (for the weak or injured or sick)	lòng nhân từ
loyalty, faithfulness	lòng son
riverbed	lòng sông
greed	lòng tham
greed	lòng tham lam
sincerity, candor	lòng thành
sincerity	lòng thành thực
to have illicit love affairs; hanging down, dangling, trailing; to hang down loosely	lòng thòng
pity, compassion, mercy	lòng thương
belief, confidence, faith, trust	lòng tin
kind of gudgeon	lòng tong
compassion, pity	lòng trắc ẩn
white	lòng trắng
kindness, kindhearted	lòng tốt
heart of gold, goodness, kindness	lòng vàng
feeling, spirit of patriotism	lòng yêu nước
attachment	lòng ái mộ
patriotism	lòng ái quốc
soft-boiled	lòng đào
road-bed, roadway	lòng đường
bowels or entrails of the earth	lòng đất
egg yolk	lòng đỏ
to dazzle, be dazzled	lóa mắt
to dissect, cut up	lóc
try a draw oneself up	lóc ngóc
swarm, abound	lóc nhóc
to flash	lóe
to flash up, appear	lóe lên
internode slang, cant	lóng
to shine, glitter, sparkle	lóng lánh
to be waiting for	lóng ngóng
(of a cheek) hollow	lóp
about, nearly	lóp lép
with difficulty	lóp ngóp
line, lining	lót
to snack	lót dạ
to give somebody money under the table	lót tay
(of bird) to nest, build a nest	lót ổ
hired, rented; series	lô
local	lô can
blockhouse	lô cốt
logarithm	lô ga rít
formal logic	lô gích hình thức
logic	lô gích học
aloe	lô hội
lotto	lô tô
(1) thunder; (2) to drag, pull; (3) (explosive) mine	lôi
to carry, drag away	lôi cuốn
God of Thunder	lôi công
to pull, drag	lôi kéo
to take out, pull out	lôi ra
to drag into courta	lôi ra tòa
cumbersome, complicated, burdensome, untidy, unkempt	lôi thôi
unkempt (clothes)	lôi thôi lếch thếch
unkempt (clothes)	lôi thôi lốc thấc
zeolite	lôi thạch
storm, thunder and rain	lôi vũ
(boxing) ring	lôi đài
fit of rage, anger	lôi đình
disorderly, in disorder	lôm côm
fur, hair	lông
feathers, oar-feathers	lông cánh
hairy	lông lá
hair	lông mao
eyelashes, cilia	lông mi
eyebrows	lông mày
down	lông măng
nostril hair	lông mũi
tall, lanky, high	lông ngông
eyelash	lông nheo
ramble, wander, stray	lông nhông
trachoma	lông quặm
down, fuzz	lông tơ
feather	lông vũ
(of nose) aquiline	lõ
naked, unclothed, nude	lõa
naked	lõa lồ
naked body	lõa thể
(of hair) flowing, disheveled	lõa xõa
experienced in life	lõi đời
concave, sunken	lõm
to wade, splash	lõm bõm
